종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"010470","오리콤","KOSDAQ","우량기업부","5810","-120","-2.02","5930","5930","5760","58778","342511205","69694791000","11975050"
"417860","오브젠","KOSDAQ","투자주의환기종목(소속부없음)","12200","-60","-0.49","12260","12480","11980","9411","114675200","55051746600","4516140"
"352910","오비고","KOSDAQ","기술성장기업부","6170","40","0.65","6250","6620","5920","329305","2058157840","77216970220","12637802"
"053980","오상자이엘","KOSDAQ","우량기업부","3360","-50","-1.47","3430","3435","3345","59376","200726212","64351634370","18982783"
"036220","오상헬스케어","KOSDAQ","중견기업부","11870","-130","-1.08","12150","12150","11760","11704","138435515","171066014640","14509416"
"052420","오성첨단소재","KOSDAQ","우량기업부","1460","-15","-1.02","1476","1488","1458","583065","859051387","138239198448","94425682"
"332190","오션스바이오","KONEX","일반기업부","3795","-5","-0.13","0","0","0","0","0","5608399005","1477839"
"052300","오션인더블유","KOSDAQ","중견기업부","2260","25","1.12","2300","2300","2150","46781","103043985","37862246035","16865143"
"039200","오스코텍","KOSDAQ","벤처기업부","45150","1850","4.27","43300","45500","43000","412980","18414697975","1721617920000","38258176"
"226400","오스테오닉","KOSDAQ","기술성장기업부","6510","150","2.36","6360","6560","6200","199881","1283686800","134507022510","20661601"
"031510","오스템","KOSDAQ","중견기업부","1057","-23","-2.13","1080","1084","1010","24556","25949688","29960000000","28000000"
"342870","오아","KOSDAQ","중견기업부","7660","-40","-0.52","7700","7860","7610","11261","86853070","44927937730","5857619"
"368970","오에스피","KOSDAQ","벤처기업부","1973","0","0.00","1973","2015","1969","10781","21388158","18524089120","9346160"
"138080","오이솔루션","KOSDAQ","벤처기업부","16290","970","6.33","15330","16850","15260","486104","7884845185","190244524320","11678608"
"080580","오킨스전자","KOSDAQ","벤처기업부","10220","-160","-1.54","10640","10730","9990","526722","5385998515","205646183440","20181176"
"067170","오텍","KOSDAQ","중견기업부","1910","25","1.33","1885","1912","1880","80808","153257116","45632965550","23891605"
"353590","오토앤","KOSDAQ","중견기업부","3485","-75","-2.11","3535","3535","3415","100071","345579575","44806983600","12875570"
"173130","오파스넷","KOSDAQ","우량기업부","6480","-140","-2.11","6660","6680","6470","59899","389569525","84671609770","13046473"
"440320","오픈놀","KOSDAQ","기술성장기업부","3825","25","0.66","3835","3870","3800","12696","48462362","37550600000","9830000"
"049480","오픈베이스","KOSDAQ","우량기업부","2320","-30","-1.28","2350","2375","2315","191569","446537715","73214152390","31422383"
